"Date","Hour","Sensor_Location","Count"
"01/12/2021",1,"Spencer.St.Collins.St..North.",45
"01/12/2021",1,"Melbourne.Convention.Exhibition.Centre",42
"01/12/2021",1,"QV.Market.Elizabeth.St..West.",72
"01/12/2021",1,"QV.Market.Peel.St",19
"01/12/2021",1,"The.Arts.Centre",30
"01/12/2021",1,"St.Kilda.Rd.Alexandra.Gardens",12
"01/12/2021",1,"Lonsdale.St..South.",58
"01/12/2021",1,"Lygon.St..West.",23
"01/12/2021",1,"City.Square",NA
"01/12/2021",1,"Flinders.St.Spring.St..West.",NA
"01/12/2021",1,"Flinders.St.Spark.La",NA
"01/12/2021",1,"Southbank",34
"01/12/2021",1,"Queen.St..West.",7
"01/12/2021",1,"Lygon.St..East.",20
"01/12/2021",1,"Flinders.St.Swanston.St..West.",NA
"01/12/2021",1,"Alfred.Place",27
"01/12/2021",1,"Lonsdale.St.Spring.St..West.",25
"01/12/2021",1,"Grattan.St.Swanston.St..West.",20
"01/12/2021",1,"Monash.Rd.Swanston.St..West.",3
"01/12/2021",1,"Tin.Alley.Swanston.St..West.",9
"01/12/2021",1,"Little.Collins.St.Swanston.St..East.",NA
"01/12/2021",1,"Flinders.La.Swanston.St..West.",129
"01/12/2021",1,"Pelham.St..South.",2
"01/12/2021",1,"Melbourne.Central.Elizabeth.St..East.",59
"01/12/2021",1,"QVM.Queen.St..East.",24
"01/12/2021",1,"QVM.Therry.St..South.",71
"01/12/2021",1,"Faraday.St.Lygon.St..West.",9
"01/12/2021",1,"QVM.Franklin.St..North.",16
"01/12/2021",1,"Elizabeth.St.Lonsdale.St..South.",40
"01/12/2021",1,"Lincoln.Swanston..W.",26
"01/12/2021",1,"Elizabeth.St.La.Trobe.St..East.",NA
"01/12/2021",1,"Lonsdale.St...Elizabeth.St..North.",12
"01/12/2021",1,"Bourke.St.Bridge",NA
"01/12/2021",1,"Bourke.St...Spencer.St..North.",35
"01/12/2021",1,"RMIT.Bld.80...445.Swanston.Street",16
"01/12/2021",1,"Flinders.La.Swanston.St..West..Temporary",NA
"01/12/2021",1,"RMIT.Building.14",21
"01/12/2021",1,"X380.Elizabeth.St",197
"01/12/2021",1,"La.Trobe.St..North.",38
"01/12/2021",1,"X231.Bourke.St",15
"01/12/2021",1,"Royal.Pde...Grattan.St",2
"01/12/2021",1,"Swanston.St...City.Square",208
"01/12/2021",1,"State.Library...New",43
"01/12/2021",1,"Flinders.Ln...Degraves.St..South.",16
"01/12/2021",1,"Flinders.Ln...Degraves.St..North.",0
"01/12/2021",1,"Flinders.Ln...Degraves.St..Crossing.",0
"01/12/2021",1,"Errol.Street..East.",22
"01/12/2021",1,"Westwood.Place",9
"01/12/2021",1,"Flinders.St...ACMI",NA
"01/12/2021",1,"Bourke.St...Spencer.St..South.",18
"01/12/2021",1,"Spring.St...Flinders.St..West.",NA
"01/12/2021",1,"Macaulay.Rd...Bellair.St",1
"01/12/2021",1,"Harbour.Esplanade...Pedestrian.Path",NA
"01/12/2021",1,"Harbour.Esplanade...Bike.Path",2
"01/12/2021",1,"Flinders.St..South.",37
"01/12/2021",1,"Elizabeth.St...Flinders.St..East....New.footpath",NA
"01/12/2021",1,"Macaulay.Rd..North.",NA
"01/12/2021",1,"Queensberry.St...Errol.St..South.",NA
"01/12/2021",2,"Bourke.Street.Mall..North.",11
"01/12/2021",2,"Bourke.Street.Mall..South.",16
"01/12/2021",2,"Melbourne.Central",77
"01/12/2021",2,"Town.Hall..West.",30
"01/12/2021",2,"Princes.Bridge",22
"01/12/2021",2,"Flinders.Street.Station.Underpass",19
"01/12/2021",2,"Birrarung.Marr",12
"01/12/2021",2,"Webb.Bridge",4
"01/12/2021",2,"Southern.Cross.Station",5
"01/12/2021",2,"Victoria.Point",NA
"01/12/2021",2,"Waterfront.City",1
"01/12/2021",2,"New.Quay",4
"01/12/2021",2,"Flagstaff.Station",NA
"01/12/2021",2,"Sandridge.Bridge",23
"01/12/2021",2,"State.Library",NA
"01/12/2021",2,"Collins.St..North.",19
"01/12/2021",2,"Collins.Place..South.",8
"01/12/2021",2,"Collins.Place..North.",1
"01/12/2021",2,"Chinatown.Swanston.St..North.",53
"01/12/2021",2,"Chinatown.Lt.Bourke.St..South.",5
"01/12/2021",2,"Bourke.St.Russell.St..West.",46
"01/12/2021",2,"Flinders.St.Elizabeth.St..East.",NA
"01/12/2021",2,"Spencer.St.Collins.St..South.",34
"01/12/2021",2,"Spencer.St.Collins.St..North.",21
"01/12/2021",2,"Melbourne.Convention.Exhibition.Centre",22
"01/12/2021",2,"QV.Market.Elizabeth.St..West.",63
"01/12/2021",2,"QV.Market.Peel.St",3
"01/12/2021",2,"The.Arts.Centre",14
"01/12/2021",2,"St.Kilda.Rd.Alexandra.Gardens",4
"01/12/2021",2,"Lonsdale.St..South.",26
"01/12/2021",2,"Lygon.St..West.",5
"01/12/2021",2,"City.Square",NA
"01/12/2021",2,"Flinders.St.Spring.St..West.",NA
"01/12/2021",2,"Flinders.St.Spark.La",NA
"01/12/2021",2,"Southbank",56
"01/12/2021",2,"Queen.St..West.",5
"01/12/2021",2,"Lygon.St..East.",5
"01/12/2021",2,"Flinders.St.Swanston.St..West.",NA
"01/12/2021",2,"Alfred.Place",21
"01/12/2021",2,"Lonsdale.St.Spring.St..West.",9
"01/12/2021",2,"Grattan.St.Swanston.St..West.",12
"01/12/2021",2,"Monash.Rd.Swanston.St..West.",NA
"01/12/2021",2,"Tin.Alley.Swanston.St..West.",NA
"01/12/2021",2,"Little.Collins.St.Swanston.St..East.",NA
"01/12/2021",2,"Flinders.La.Swanston.St..West.",66
"01/12/2021",2,"Pelham.St..South.",4
"01/12/2021",2,"Melbourne.Central.Elizabeth.St..East.",29
"01/12/2021",2,"QVM.Queen.St..East.",15
"01/12/2021",2,"QVM.Therry.St..South.",43
"01/12/2021",2,"Faraday.St.Lygon.St..West.",5
"01/12/2021",2,"QVM.Franklin.St..North.",19
"01/12/2021",2,"Elizabeth.St.Lonsdale.St..South.",7
"01/12/2021",2,"Lincoln.Swanston..W.",9
"01/12/2021",2,"Elizabeth.St.La.Trobe.St..East.",NA
"01/12/2021",2,"Lonsdale.St...Elizabeth.St..North.",15
"01/12/2021",2,"Bourke.St.Bridge",2
"01/12/2021",2,"Bourke.St...Spencer.St..North.",29
"01/12/2021",2,"RMIT.Bld.80...445.Swanston.Street",5
"01/12/2021",2,"Flinders.La.Swanston.St..West..Temporary",NA
"01/12/2021",2,"RMIT.Building.14",22
"01/12/2021",2,"X380.Elizabeth.St",80
"01/12/2021",2,"La.Trobe.St..North.",22
"01/12/2021",2,"X231.Bourke.St",NA
